order_id,customer_id,order_date,status,region_code,is_guest
O000001,C0333,2024-07-01,PLACED,CENTRAL,0
O000002,C0246,2025-08-19,RETURNED,EAST,0
O000003,C0450,2026-05-17,DELIVERED,NORTH,0
O000004,C0103,2024-09-30,DELIVERED,EAST,0
O000005,C0105,2026-02-10,RETURNED,SOUTH,0
O000006,C0381,2025-10-24,PLACED,NORTH,0
O000007,C0475,2025-01-25,RETURNED,NORTH,0
O000008,C0007,2026-01-31,SHIPPED,EAST,0
O000009,C0387,2025-08-25,PLACED,WEST,0
O000010,C0091,2025-11-30,DELIVERED,WEST,0
O000011,C0143,2025-07-23,CANCELLED,SOUTH,0
O000012,C0021,2024-06-06,PLACED,WEST,0
O000013,C0405,2025-08-09,SHIPPED,CENTRAL,0
O000014,C0035,2026-03-16,SHIPPED,SOUTH,0
O000015,C0340,2024-12-05,CANCELLED,CENTRAL,0
O000016,C0422,2026-02-09,RETURNED,CENTRAL,0
O000017,C0125,2024-02-10,CANCELLED,EAST,0
O000018,C0277,2026-01-11,RETURNED,WEST,0
O000019,C0250,2024-02-14,DELIVERED,SOUTH,0
O000020,C0498,2026-03-02,SHIPPED,WEST,0
O000021,C0428,2024-04-16,CANCELLED,NORTH,0
O000022,C0383,2025-12-03,DELIVERED,SOUTH,0
O000023,C0407,2024-09-14,CANCELLED,WEST,0
O000024,C0323,2025-02-18,RETURNED,NORTH,0
O000025,C0388,2026-02-02,DELIVERED,EAST,0
O000026,C0403,2025-12-03,CANCELLED,NORTH,0
O000027,C0243,2024-06-09,RETURNED,EAST,0
O000028,C0492,2025-10-11,PLACED,NORTH,0
O000029,C0284,2026-06-14,RETURNED,CENTRAL,0
O000030,C0485,2024-03-28,CANCELLED,CENTRAL,0
O000031,C0073,2024-06-13,RETURNED,NORTH,0
O000032,C0436,2026-02-08,PLACED,NORTH,0
O000033,C0129,2024-04-10,SHIPPED,NORTH,0
O000034,C0146,2025-09-26,PLACED,CENTRAL,0
O000035,C0079,2025-08-02,PLACED,SOUTH,0
O000036,C0403,2024-08-14,PLACED,WEST,0
O000037,C0237,2025-04-01,RETURNED,NORTH,0
O000038,C0431,2024-10-14,DELIVERED,NORTH,0
O000039,C0457,2024-01-20,RETURNED,SOUTH,0
O000040,C0465,2024-02-07,SHIPPED,EAST,0
O000041,C0201,2024-08-16,RETURNED,CENTRAL,0
O000042,C0047,2025-02-10,RETURNED,SOUTH,0
O000043,C0388,2025-06-10,SHIPPED,WEST,0
O000044,,2025-01-02,SHIPPED,CENTRAL,1
O000045,C0465,2026-03-21,PLACED,NORTH,0
O000046,C0361,2025-06-17,RETURNED,SOUTH,0
O000047,C0193,2025-10-31,PLACED,WEST,0
O000048,C0499,2024-08-16,CANCELLED,CENTRAL,0
O000049,C0004,2025-05-28,PLACED,SOUTH,0
O000050,C0077,2024-07-10,CANCELLED,EAST,0
O000051,C0369,2024-04-26,CANCELLED,NORTH,0
O000052,C0125,2024-02-14,RETURNED,SOUTH,0
O000053,C0029,2024-06-19,RETURNED,NORTH,0
O000054,C0450,2026-01-06,RETURNED,WEST,0
O000055,C0445,2025-05-08,SHIPPED,CENTRAL,0
O000056,C0338,2025-06-07,RETURNED,NORTH,0
O000057,C0118,2025-01-22,RETURNED,WEST,0
O000058,C0424,2024-06-02,RETURNED,CENTRAL,0
O000059,C0386,2024-04-30,DELIVERED,WEST,0
O000060,C0268,2025-03-06,CANCELLED,WEST,0
O000061,C0180,2025-08-26,CANCELLED,SOUTH,0
O000062,C0131,2025-05-03,RETURNED,WEST,0
O000063,,2024-07-12,DELIVERED,WEST,1
O000064,C0336,2024-07-29,RETURNED,EAST,0
O000065,C0134,2026-05-25,CANCELLED,SOUTH,0
O000066,C0212,2025-07-19,PLACED,EAST,0
O000067,C0296,2024-12-18,DELIVERED,SOUTH,0
O000068,C0229,2026-03-12,PLACED,CENTRAL,0
O000069,C0315,2025-12-14,DELIVERED,SOUTH,0
O000070,C0242,2025-09-06,DELIVERED,WEST,0
O000071,C0477,2025-02-14,SHIPPED,WEST,0
O000072,C0225,2024-01-11,DELIVERED,CENTRAL,0
O000073,C0262,2025-06-12,DELIVERED,SOUTH,0
