item_id,order_id,product_id,quantity,unit_price,discount_percent
I0000001,O000001,P0333,1,22.54,5
I0000002,O000001,P0207,2,2053.96,10
I0000003,O000001,P0050,2,247.46,0
I0000004,O000001,P0342,3,644.71,20
I0000005,O000002,P0344,1,1329.81,10
I0000006,O000002,P0281,4,497.68,5
I0000007,O000003,P0193,4,45.56,20
I0000008,O000003,P0423,1,107.54,15
I0000009,O000003,P0458,3,479.43,0
I0000010,O000003,P0052,3,28.57,15
I0000011,O000003,P0058,3,543.01,0
I0000012,O000004,P0089,2,505.3,20
I0000013,O000004,P0300,4,497.76,0
I0000014,O000004,P0316,1,472.66,5
I0000015,O000004,P0254,4,1902.23,10
I0000016,O000005,P0428,3,76.78,15
I0000017,O000005,P0054,4,392.47,10
I0000018,O000005,P0307,4,489.43,10
I0000019,O000006,P0409,2,932.52,15
I0000020,O000006,P0425,1,174.86,20
I0000021,O_ORPHAN_21,P0477,2,27.9,5
I0000022,O_ORPHAN_22,P0411,1,1270.76,10
I0000023,O000006,P0088,1,214.8,5
I0000024,O000007,P0286,4,38.24,0
I0000025,O000008,P0177,1,540.89,10
I0000026,O000008,P0186,4,247.88,10
I0000027,O000008,P0262,2,235.28,15
I0000028,O000009,P0158,2,1863.51,5
I0000029,O000009,P0128,4,37.44,5
I0000030,O000010,P0469,4,915.89,20
I0000031,O000010,P0064,3,20.13,20
I0000032,O000010,P0151,2,37.2,10
I0000033,O000010,P0104,3,21.75,15
I0000034,O000011,P0210,1,159.29,10
I0000035,O000011,P0331,2,81.05,0
I0000036,O000011,P0106,4,67.26,0
I0000037,O000011,P0284,2,32.17,0
I0000038,O000012,P0263,4,2016.13,20
I0000039,O000013,P0030,2,1020.69,20
I0000040,O000013,P0057,2,52.25,20
I0000041,O000013,P0415,3,82.63,0
I0000042,O000013,P0257,2,152.48,15
I0000043,O000013,P0073,2,827.25,10
I0000044,O000014,P0075,3,2931.93,20
I0000045,O000014,P0219,1,21.32,5
I0000046,O000015,P0272,1,38.46,15
I0000047,O000016,P0203,1,115.34,20
I0000048,O000017,P0272,3,40.25,20
I0000049,O000017,P0286,2,50.98,0
I0000050,O000017,P0028,4,125.77,10
I0000051,O000017,P0006,-2,217.07,0
I0000052,O000018,P0204,-4,154.34,5
I0000053,O000018,P0263,4,2825.89,20
I0000054,O000019,P0237,1,17.38,5
I0000055,O000019,P0070,2,29.35,10
I0000056,O000020,P0282,3,1908.28,10
I0000057,O000020,P0206,3,2819.75,15
I0000058,O000021,P0089,3,499.13,5
I0000059,O000021,P0124,3,1876.37,10
I0000060,O000021,P0279,4,717.63,0
I0000061,O000021,P0017,1,120.91,0
I0000062,O000021,P0040,0,83.81,20
I0000063,O000022,P0345,4,13.07,0
I0000064,O000022,P0454,2,32.99,5
I0000065,O000022,P0086,4,51.96,20
I0000066,O000023,P0390,2,2280.85,15
I0000067,O000023,P0080,1,1881.91,0
I0000068,O000024,P0163,3,2549.91,0
I0000069,O000024,P0284,-1,24.88,10
I0000070,O000024,P0327,4,2252.47,10
I0000071,O000025,P0186,1,195.08,0
I0000072,O000025,P0270,4,485.98,0
I0000073,O000026,P0087,2,151.46,10
I0000074,O000027,P0297,4,51.5,10
I0000075,O000027,P0350,4,135.4,10
I0000076,O000027,P0238,1,2266.2,20
I0000077,O000028,P0444,1,1793.78,5
I0000078,O000028,P0413,3,495.15,15
I0000079,O_ORPHAN_79,P0105,4,65.98,10
I0000080,O000029,P0206,3,2627.24,10
I0000081,O000029,P0417,-3,48.12,0
I0000082,O000029,P0207,1,2582.53,15
I0000083,O000029,P0054,4,442.5,5
I0000084,O000030,P0233,2,1363.57,15
I0000085,O000031,P0007,1,42.64,10
I0000086,O000031,P0030,4,964.08,5
I0000087,O000031,P0144,2,554.53,0
I0000088,O000032,P0450,4,505.99,5
I0000089,O000032,P0118,1,596.96,10
I0000090,O000032,P0472,4,60.27,20
I0000091,O000033,P0322,2,1014.76,15
I0000092,O000034,P0147,3,42.19,5
I0000093,O000034,P0298,1,388.72,10
I0000094,O000034,P0452,1,13.28,10
I0000095,O000034,P0324,1,477.46,20
I0000096,O000035,P0220,3,768.34,15
I0000097,O000035,P0117,3,1756.34,10
I0000098,O000035,P0251,4,2186.51,10
I0000099,O000035,P0335,4,1473.98,20
I0000100,O000035,P0396,3,1870.73,0
I0000101,O000036,P0025,1,22.99,5
I0000102,O000036,P0266,4,850.46,15
I0000103,O000036,P0087,3,169.27,10
I0000104,O000037,P0258,3,21.09,5
I0000105,O000037,P0106,2,64.14,15
I0000106,O000038,P0019,4,548.44,15
I0000107,O000038,P0262,1,241.14,5
I0000108,O000038,P0421,3,31.77,20
I0000109,O000039,P0490,3,539.48,114
I0000110,O000039,P0177,4,768.09,5
I0000111,O000040,P0048,2,19.71,15
I0000112,O000040,P0120,3,12.96,0
I0000113,O000040,P0312,1,55.41,5
I0000114,O000041,P0234,3,558.93,0
I0000115,O000041,P0070,3,30.36,0
I0000116,O000041,P0435,4,27.94,20
I0000117,O000041,P0251,3,2095.89,5
I0000118,O000041,P0349,1,96.91,5
I0000119,O000042,P0123,1,822.17,15
I0000120,O000043,P0092,4,22.37,10
I0000121,O000044,P0088,2,195.02,5
I0000122,O000045,P0386,4,395.63,20
I0000123,O000045,P0128,3,43.15,15
I0000124,O000045,P0064,1,17.36,20
I0000125,O000045,P0004,2,222.99,10
I0000126,O000045,P0432,3,115.98,20
I0000127,O000046,P0102,3,412.1,15
I0000128,O000047,P0115,4,378.73,10
I0000129,O000048,P0161,4,54.02,0
I0000130,O000048,P0165,2,50.88,10
I0000131,O000048,P0262,2,164.22,5
I0000132,O000049,P0374,3,241.01,20
I0000133,O000049,P0264,3,969.67,0
I0000134,O000050,P0453,2,1152.47,0
I0000135,O000050,P0349,1,100.63,15
I0000136,O000050,P0294,1,90.36,0
I0000137,O000051,P0381,2,107.9,0
I0000138,O000051,P0250,1,866.03,0
I0000139,O000051,P0334,4,713.78,20
I0000140,O000052,P0471,2,66.86,5
I0000141,O000052,P0230,3,1411.35,15
I0000142,O000052,P0185,3,76.01,15
I0000143,O000053,P0013,2,43.44,15
I0000144,O000053,P0231,1,191.74,15
I0000145,O000053,P0434,-3,58.98,20
I0000146,O000053,P0496,3,200.06,15
I0000147,O000053,P0381,1,131.08,15
I0000148,O000054,P0134,3,19.73,10
I0000149,O000054,P0409,1,965.98,5
I0000150,O000054,P0410,2,157.02,0
I0000151,O000055,P0156,3,1022.26,20
I0000152,O000056,P0432,3,102.82,10
I0000153,O000057,P0021,-1,71.08,15
I0000154,O000058,P0271,3,155.79,20
I0000155,O000058,P0010,2,713.37,15
I0000156,O000058,P0043,1,28.48,20
I0000157,O000058,P0058,1,547.0,15
I0000158,O000059,P0346,3,1735.5,10
I0000159,O000059,P0445,1,199.24,10
I0000160,O000059,P0487,4,62.25,0
I0000161,O000059,P0398,2,238.82,15
I0000162,O000059,P0494,4,1921.51,10
I0000163,O000060,P0311,2,60.95,10
I0000164,O000060,P0261,1,2275.26,5
I0000165,O000060,P0382,3,684.13,20
I0000166,O000060,P0384,1,1718.26,10
I0000167,O000060,P0472,-3,61.81,0
I0000168,O000061,P0131,2,2414.39,20
I0000169,O000061,P0432,4,127.71,15
I0000170,O000061,P0345,4,15.15,20
I0000171,O000061,P0165,2,43.17,20
I0000172,O000061,P0065,4,49.53,15
I0000173,O000062,P0386,1,350.58,20
I0000174,O000062,P0130,2,44.65,15
I0000175,O000062,P0008,3,57.71,15
I0000176,O000062,P0434,2,70.03,20
I0000177,O000063,P0339,3,1446.75,15
I0000178,O000064,P0018,4,445.18,15
I0000179,O000064,P0488,1,285.44,10
I0000180,O000064,P0402,3,116.37,10
I0000181,O000065,P0133,3,33.63,20
I0000182,O000065,P0343,4,304.21,15
I0000183,O000065,P0498,-3,57.65,20
I0000184,O000065,P0352,4,11.76,15
I0000185,O000066,P0244,3,55.9,20
I0000186,O000066,P0140,2,1759.45,15
I0000187,O000067,P0416,1,147.21,5
I0000188,O000067,P0136,3,173.8,10
I0000189,O000067,P0204,4,154.67,15
I0000190,O000067,P0132,4,7.7,10
I0000191,O000068,P0484,-3,165.65,15
I0000192,O000068,P0019,1,409.33,20
I0000193,O000069,P0107,-1,372.09,0
I0000194,O000069,P0423,1,146.15,15
I0000195,O000070,P0441,3,2545.54,0
I0000196,O000070,P0296,1,796.36,5
I0000197,O000070,P0021,1,55.28,20
I0000198,O000070,P0223,3,54.22,0
I0000199,O000070,P0119,1,524.37,20
I0000200,O000071,P0130,3,45.24,20
I0000201,O000071,P0442,3,19.27,20
I0000202,O000071,P0246,3,794.77,5
I0000203,O000071,P0230,2,1174.59,0
I0000204,O000071,P0206,1,2183.42,10
I0000205,O000072,P0075,3,2277.01,20
I0000206,O000072,P0286,4,47.31,5
I0000207,O000072,P0427,1,6.81,20
I0000208,O000072,P0246,4,800.37,0
I0000209,O000072,P0447,2,953.07,20
I0000210,O000073,P0052,4,32.92,20
I0000211,O000073,P0040,1,81.13,0
I0000212,O000073,P0144,2,565.49,5
I0000213,O000074,P0318,3,23.0,0
I0000214,O000074,P0339,1,1306.32,20
I0000215,O000074,P0489,2,36.23,0
I0000216,O000075,P0141,1,9.24,15
I0000217,O000075,P0120,1,9.63,15
I0000218,O000075,P0247,1,2002.2,0
I0000219,O000075,P0088,1,212.89,20
I0000220,O000076,P0008,4,68.01,20
I0000221,O000076,P0219,1,21.07,10
I0000222,O000076,P0175,1,561.38,15
I0000223,O000077,P0403,3,43.9,0
I0000224,O000078,P0293,4,249.04,5
I0000225,O000079,P0408,4,777.98,20
I0000226,O000079,P0468,3,2238.67,10
I0000227,O000079,P0092,3,18.01,15
I0000228,O000080,P0213,4,2722.69,10
I0000229,O000080,P0398,1,211.42,20
I0000230,O000080,P0494,1,2067.57,10
I0000231,O000080,P0206,4,2520.81,10
I0000232,O000080,P0047,3,43.53,20
I0000233,O000081,P0253,1,56.94,0
I0000234,O000081,P0420,4,299.46,15
I0000235,O000081,P0130,4,60.43,5
I0000236,O000081,P0259,2,48.25,0
I0000237,O000082,P0335,4,1037.47,10
I0000238,O000082,P0344,4,1495.26,0
I0000239,O000082,P0236,3,706.43,15
I0000240,O000082,P0235,1,14.09,20
I0000241,O000083,P0284,3,27.01,10
I0000242,O000083,P0472,1,59.6,15
I0000243,O000083,P0409,2,914.44,0
I0000244,O000083,P0408,3,571.75,5
I0000245,O000084,P0217,4,85.07,10
I0000246,O000084,P0296,1,634.46,20
I0000247,O000085,P0303,1,2173.94,5
I0000248,O000085,P0273,1,170.2,20
I0000249,O000085,P0337,1,89.29,5
I0000250,O000085,P0124,2,1860.95,10
I0000251,O000086,P0064,4,18.65,15
I0000252,O000086,P0449,3,33.66,15
I0000253,O000086,P0028,3,106.21,15
I0000254,O000087,P0317,3,85.07,10
I0000255,O000088,P0199,1,196.08,20
I0000256,O000089,P0255,2,73.37,10
I0000257,O000089,P0328,4,31.27,10
I0000258,O000089,P0124,2,2159.27,0
I0000259,O000089,P0161,-4,66.38,20
I0000260,O_ORPHAN_260,P0455,3,281.26,5
I0000261,O000090,P0240,1,574.41,10
I0000262,O000090,P0241,4,513.76,20
I0000263,O000090,P0189,-2,673.39,0
I0000264,O000091,P0459,3,165.26,10
I0000265,O000092,P0278,4,15.07,15
I0000266,O000093,P0228,3,153.2,0
I0000267,O000094,P0164,1,35.81,10
I0000268,O000095,P0284,-3,30.12,10
I0000269,O000095,P0355,3,143.76,0
I0000270,O000095,P0066,1,12.13,0
I0000271,O000095,P0170,2,508.39,5
I0000272,O000096,P0288,3,38.58,20
I0000273,O000096,P0480,3,1259.54,5
I0000274,O000096,P0212,1,176.78,5
I0000275,O000096,P0245,3,7.94,5
I0000276,O000097,P0114,4,19.1,5
I0000277,O000097,P0348,1,307.04,10
I0000278,O000097,P0191,1,237.37,20
I0000279,O000097,P0196,1,66.45,20
I0000280,O000097,P0117,1,1318.38,0
I0000281,O000098,P0355,2,170.73,20
I0000282,O000098,P0313,2,26.17,10
I0000283,O000099,P0470,4,2199.27,10
I0000284,O000099,P0200,2,478.02,15
I0000285,O000099,P0104,1,21.72,15
I0000286,O000099,P0270,2,519.63,0
I0000287,O000099,P0298,3,353.85,0
I0000288,O000100,P0071,4,101.01,15
I0000289,O000100,P0259,1,60.4,20
I0000290,O000100,P0397,4,449.94,20
I0000291,O000100,P0082,1,73.1,5
I0000292,O000101,P0258,4,29.87,0
I0000293,O000101,P0147,4,36.56,15
I0000294,O000101,P0272,1,37.16,10
I0000295,O000102,P0283,3,64.85,20
I0000296,O000102,P0163,4,2626.53,5
I0000297,O000102,P0344,1,1527.87,15
I0000298,O000102,P0473,4,2323.7,10
I0000299,O000103,P0005,2,607.02,5
I0000300,O000103,P0473,4,2500.61,15
I0000301,O000103,P0012,1,258.01,10
I0000302,O000103,P0324,2,620.07,10
I0000303,O000103,P0245,4,9.61,10
I0000304,O000104,P0127,1,93.57,20
I0000305,O000104,P0181,4,577.01,5
I0000306,O000104,P0467,3,45.39,15
I0000307,O000105,P0230,4,1088.88,20
I0000308,O000105,P0432,2,110.69,10
I0000309,O000105,P0288,4,41.82,20
I0000310,O000105,P0083,4,531.68,10
I0000311,O000106,P0054,2,368.9,5
I0000312,O000106,P0122,2,227.6,20
I0000313,O000106,P0452,4,13.52,15
I0000314,O000107,P0206,3,2400.45,0
I0000315,O000107,P0475,3,24.95,20
I0000316,O000107,P0188,4,19.24,0
I0000317,O000108,P0326,4,963.77,20
I0000318,O000108,P0004,1,174.4,10
I0000319,O000108,P0174,2,2941.59,0
I0000320,O000108,P0205,4,99.7,121
I0000321,O000109,P0175,4,588.48,5
I0000322,O000109,P0056,4,69.46,15
I0000323,O000110,P0322,4,951.1,0
I0000324,O000111,P0001,3,551.09,0
I0000325,O000111,P0216,3,261.73,20
I0000326,O000111,P0072,3,2629.35,10
I0000327,O000112,P0041,-4,73.69,20
I0000328,O000112,P0368,4,386.6,20
I0000329,O000112,P0289,2,219.9,0
I0000330,O000113,P0378,2,115.28,0
I0000331,O000113,P0141,1,9.82,5
I0000332,O000113,P0254,3,2232.83,10
I0000333,O000113,P0304,3,9.73,20
I0000334,O000113,P0330,1,26.22,15
I0000335,O000114,P0369,4,65.49,20
I0000336,O000114,P0408,4,534.3,0
I0000337,O000114,P0150,2,129.24,5
I0000338,O000114,P0133,2,24.29,15
I0000339,O000115,P0496,2,204.97,20
I0000340,O000116,P0294,3,83.2,20
I0000341,O000116,P0180,3,3101.06,5
I0000342,O000116,P0136,4,155.63,20
I0000343,O000116,P0037,2,1291.24,20
I0000344,O000116,P0277,3,250.76,20
I0000345,O000117,P0080,1,2167.8,0
I0000346,O000118,P0041,3,82.1,20
I0000347,O000118,P0498,4,64.83,0
I0000348,O000118,P0370,4,432.68,15
I0000349,O000118,P0478,2,13.53,132
I0000350,O000118,P0027,4,109.61,20
I0000351,O000119,P0226,4,1759.44,10
I0000352,O000119,P0302,2,31.46,0
I0000353,O000120,P0444,2,1625.0,10
I0000354,O000121,P0085,2,128.15,0
I0000355,O000121,P0162,3,43.74,10
I0000356,O000121,P0253,3,60.34,5
I0000357,O000121,P0229,2,29.35,5
I0000358,O000121,P0197,4,210.81,15
I0000359,O000122,P0411,1,1032.83,20
I0000360,O000123,P0455,4,388.66,0
I0000361,O_ORPHAN_361,P0117,1,1479.0,15
I0000362,O000123,P0461,4,38.55,15
I0000363,O000124,P0325,2,23.18,15
I0000364,O000124,P0096,4,99.36,0
I0000365,O000124,P0134,2,26.49,5
I0000366,O000124,P0309,1,1228.85,10
I0000367,O000125,P0304,4,9.74,10
I0000368,O000126,P0091,2,383.89,0
I0000369,O000126,P0073,4,949.61,0
I0000370,O000126,P0341,-3,55.36,15
I0000371,O000126,P0080,1,2018.75,5
I0000372,O000127,P0245,1,8.48,10
I0000373,O000128,P0413,4,475.68,0
I0000374,O000128,P0139,1,29.5,0
I0000375,O000128,P0233,3,1499.88,15
I0000376,O000128,P0203,4,127.59,5
I0000377,O000129,P0392,1,796.7,10
I0000378,O000130,P0124,3,1698.9,15
I0000379,O000130,P0249,4,181.92,15
I0000380,O000131,P0113,1,23.83,10
I0000381,O000131,P0364,4,59.16,5
I0000382,O000131,P0058,1,592.61,0
