order_id,customer_id,order_date,status,region_code
O000001,C0333,2024-07-01,PLACED,CENTRAL
O000002,C0246,2025-08-19,RETURNED,EAST
O000003,C0450,17-05-2026,DELIVERED,NORTH
O000004,C0103,2024-09-30,DELIVERED,EAST
O000005,C0105,2026-02-10,RETURNED,SOUTH
O000006,C0381,2025-10-24,PLACED,NORTH
O000007,C0475,2025-01-25,RETURNED,NORTH
O000008,C0007,2026-01-31,SHIPPED,EAST
O000009,C0387,2025-08-25,PLACED,WEST
O000010,C0091,2025-11-30,DELIVERED,WEST
O000011,C0143,2025-07-23,CANCELLED,SOUTH
O000012,C0021,2024-06-06,PLACED,WEST
O000013,C0405,2025-08-09,SHIPPED,CENTRAL
O000014,C0035,2026-03-16,SHIPPED,SOUTH
O000015,C0340,2024-12-05,CANCELLED,CENTRAL
O000016,C0422,09-02-2026,RETURNED,CENTRAL
O000017,C0125,2024-02-10,CANCELLED,EAST
O000018,C0277,2026-01-11,RETURNED,WEST
O000019,C0250,2024-02-14,DELIVERED,SOUTH
O000020,C0498,02-03-2026,SHIPPED,WEST
O000021,C0428,2024-04-16,CANCELLED,NORTH
O000022,C0383,2025-12-03,DELIVERED,SOUTH
O000023,C0407,2024-09-14,CANCELLED,WEST
O000024,C0323,18-02-2025,RETURNED,NORTH
O000025,C0388,2026-02-02,DELIVERED,EAST
O000026,C0403,2025-12-03,CANCELLED,NORTH
O000027,C0243,2024-06-09,RETURNED,EAST
O000028,C0492,2025-10-11,PLACED,NORTH
O000029,C0284,2026-06-14,RETURNED,CENTRAL
O000030,C0485,2024-03-28,CANCELLED,CENTRAL
O000031,C0073,2024-06-13,RETURNED,NORTH
O000032,C0436,2026-02-08,PLACED,NORTH
O000033,C0129,2024-04-10,SHIPPED,NORTH
O000034,C0146,2025-09-26,PLACED,CENTRAL
O000035,C0079,2025-08-02,PLACED,SOUTH
O000036,C0403,2024-08-14,PLACED,WEST
O000037,C0237,2025-04-01,RETURNED,NORTH
O000038,C0431,2024-10-14,DELIVERED,NORTH
O000039,C0457,2024-01-20,RETURNED,SOUTH
O000040,C0465,2024-02-07,SHIPPED,EAST
O000041,C0201,2024-08-16,RETURNED,CENTRAL
O000042,C0047,10-02-2025,RETURNED,SOUTH
O000043,C0388,2025-06-10,SHIPPED,WEST
O000044,NULL,2025-01-02,SHIPPED,CENTRAL
O000045,C0465,2026-03-21,PLACED,NORTH
O000046,C0361,2025-06-17,RETURNED,SOUTH
O000047,C0193,2025-10-31,PLACED,WEST
O000048,C0499,2024-08-16,CANCELLED,CENTRAL
O000049,C0004,2025-05-28,PLACED,SOUTH
O000050,C0077,2024-07-10,CANCELLED,EAST
O000051,C0369,2024-04-26,CANCELLED,NORTH
O000052,C0125,2024-02-14,RETURNED,SOUTH
O000053,C0029,2024-06-19,RETURNED,NORTH
O000054,C0450,2026-01-06,RETURNED,WEST
O000055,C0445,2025-05-08,SHIPPED,CENTRAL
O000056,C0338,2025-06-07,RETURNED,NORTH
O000057,C0118,2025-01-22,RETURNED,WEST
O000058,C0424,2024-06-02,RETURNED,CENTRAL
O000059,C0386,2024-04-30,DELIVERED,WEST
O000060,C0268,2025-03-06,CANCELLED,WEST
O000061,C0180,2025-08-26,CANCELLED,SOUTH
O000062,C0131,2025-05-03,RETURNED,WEST
O000063,None,2024-07-12,DELIVERED,WEST
O000064,C0336,2024-07-29,RETURNED,EAST
O000065,C0134,2026-05-25,CANCELLED,SOUTH
O000066,C0212,2025-07-19,PLACED,EAST
O000067,C0296,2024-12-18,DELIVERED,SOUTH
O000068,C0229,2026-03-12,PLACED,CENTRAL
O000069,C0315,2025-12-14,DELIVERED,SOUTH
O000070,C0242,2025-09-06,DELIVERED,WEST
O000071,C0477,2025-02-14,SHIPPED,WEST
O000072,C0225,2024-01-11,DELIVERED,CENTRAL
O000073,C0262,2025-06-12,DELIVERED,SOUTH
O000074,C0045,2024-10-09,RETURNED,NORTH
O000075,C0378,2025-12-21,RETURNED,EAST
O000076,C0178,2026-04-15,RETURNED,NORTH
O000077,C0134,2024-06-28,DELIVERED,CENTRAL
O000078,C0490,2024-09-20,CANCELLED,CENTRAL
O000079,C0248,2026-02-27,RETURNED,NORTH
