user_id,transaction_date,store_id,city,region,product_category,price,age,subscription,status
U2620,2024-01-29,S008,Phoenix,West,Clothing,238.75,19,Premium,
U1729,2024-01-09,S008,Los Angeles,West,Electronics,,33,Premium,
U2662,2024-06-28,S019,Dallas,South,Clothing,,40,Premium,
U1732,2024-03-28,S025,Seattle,North,Electronics,,28,Premium,Pending
U1409,2024-06-03,S015,Seattle,North,Furniture,,18,Basic,
U2534,2024-04-02,S002,Chicago,East,Electronics,,18,Premium,Completed
U1557,2024-03-12,S006,Miami,South,Clothing,,37,Basic,
U2800,2024-06-14,S006,Phoenix,West,Furniture,,21,Basic,Pending
U1106,2024-06-12,S025,Chicago,East,Clothing,,42,Premium,Pending
U1644,2024-03-09,S023,Los Angeles,West,Furniture,328.38,31,Basic,
U1880,2024-02-06,S024,Seattle,North,Electronics,,39,Basic,
U1636,2024-04-02,S016,New York,East,Furniture,,43,Premium,Completed
U2571,2024-02-10,S013,Miami,South,Electronics,,32,Basic,
U0048,2024-06-23,S025,Phoenix,West,Furniture,281.49,26,Premium,Pending
U1781,2024-02-10,S024,Dallas,South,Furniture,278.12,40,Premium,
U0436,2024-06-09,S020,Minneapolis,North,Furniture,,40,Premium,
U2173,2024-01-01,S004,Denver,North,Electronics,,23,Premium,Completed
U2324,2024-01-21,S003,Phoenix,West,Clothing,978.42,40,Premium,Completed
U2703,2024-05-01,S020,Boston,East,Furniture,,45,Premium,
U1277,2024-04-12,S015,Denver,North,Furniture,,18,Basic,Completed
U2410,2024-05-21,S001,Chicago,East,Electronics,89.57,17,Premium,Completed
U0129,2024-03-25,S009,Phoenix,West,Electronics,,33,Premium,
U2339,2024-05-27,S014,Dallas,South,Clothing,,37,Basic,Pending
U1735,2024-04-15,S022,Miami,South,Electronics,660.39,19,Premium,Pending
U2983,2024-03-27,S007,Los Angeles,West,Electronics,,29,Premium,Pending
U1895,2024-03-04,S004,San Diego,West,Furniture,69.58,42,Premium,Completed
U0969,2024-02-12,S007,Houston,South,Clothing,,21,Basic,Completed
U1600,2024-03-08,S023,Houston,South,Clothing,958.17,37,Basic,Completed
U0778,2024-03-16,S024,New York,East,Furniture,551.35,26,Premium,Completed
U2393,2024-05-02,S003,New York,East,Furniture,,35,Premium,
U0964,2024-04-13,S019,Phoenix,West,Electronics,602.63,18,Basic,
U2391,2024-05-24,S022,Denver,North,Electronics,,24,Basic,Completed
U2752,2024-06-14,S025,Denver,North,Clothing,,30,Premium,Completed
U2203,2024-02-24,S003,Seattle,North,Clothing,,25,Premium,Pending
