order_id,customer_id,product_id,quantity,unit_price,total_amount,order_date,status,payment_method
ORD0000001,CUS000054,PROD0090,3,22711.21,68133.63,2026-02-15,Shipped,Net Banking
ORD0000002,CUS000764,PROD0270,1,22752.74,22752.74,2025-03-28,Delivered,Net Banking
ORD0000003,CUS000526,PROD0230,3,15816.36,47449.08,2024-08-12,Pending,Credit Card
ORD0000004,CUS000227,PROD0232,5,6867.92,34339.6,2024-08-31,Pending,Credit Card
ORD0000005,CUS000470,PROD0267,3,28287.72,84863.16,2025-04-08,Delivered,Credit Card
ORD0000006,CUS000437,PROD0246,4,27644.6,110578.4,2025-10-16,Delivered,Net Banking
ORD0000007,CUS000921,PROD0228,1,15438.52,15438.52,2025-02-02,Delivered,UPI
ORD0000008,CUS000130,PROD0076,1,27239.74,27239.74,2025-08-30,Cancelled,COD
ORD0000009,CUS000730,PROD0300,5,6717.61,33588.05,2025-05-27,Cancelled,Net Banking
ORD0000010,CUS000465,PROD0272,3,2848.13,8544.39,2026-02-02,Pending,COD
ORD0000011,CUS000813,PROD0221,1,25845.36,25845.36,2025-09-11,Delivered,COD
ORD0000012,CUS000463,PROD0111,4,8296.4,33185.6,2025-03-18,Shipped,Net Banking
ORD0000013,CUS000409,PROD0174,4,20807.12,83228.48,2025-08-15,Returned,Credit Card
ORD0000014,CUS000321,PROD0161,4,20929.14,83716.56,2025-08-17,Cancelled,UPI
ORD0000015,CUS000069,PROD0079,4,18717.68,74870.72,2024-08-12,Delivered,Credit Card
ORD0000016,CUS000099,PROD0048,4,14248.87,56995.48,2024-12-10,Cancelled,Debit Card
ORD0000017,CUS000601,PROD0285,1,22879.66,22879.66,2025-11-18,Pending,COD
ORD0000018,CUS000421,PROD0169,1,12925.7,12925.7,2026-02-27,Cancelled,Net Banking
ORD0000019,CUS000615,PROD0027,3,21018.86,63056.58,2024-08-24,Cancelled,UPI
ORD0000020,CUS000520,PROD0054,5,5039.66,25198.3,2024-09-03,Shipped,Debit Card
ORD0000021,CUS000868,PROD0247,2,19853.05,39706.1,2026-02-17,Delivered,UPI
ORD0000022,CUS000118,PROD0285,3,22879.66,68638.98,2025-03-30,Cancelled,COD
ORD0000023,CUS000866,PROD0116,4,17821.57,71286.28,2024-09-26,Pending,COD
ORD0000024,CUS000624,PROD0286,1,25705.23,25705.23,2025-05-18,Cancelled,Credit Card
ORD0000025,CUS000720,PROD0093,3,4914.48,14743.44,2026-06-11,Cancelled,UPI
ORD0000026,CUS000186,PROD0180,1,13182.95,13182.95,2025-05-28,Shipped,COD
ORD0000027,CUS000146,PROD0206,1,5519.24,5519.24,2026-06-19,Delivered,Credit Card
ORD0000028,CUS000386,PROD0272,2,2848.13,5696.26,2024-11-30,Returned,Net Banking
ORD0000029,CUS000379,PROD0175,2,24653.26,49306.52,2024-12-10,Cancelled,UPI
ORD0000030,CUS000087,PROD0291,5,2775.33,13876.65,2026-01-18,Delivered,Debit Card
ORD0000031,CUS000051,PROD0081,5,7798.27,38991.35,2026-01-13,Delivered,UPI
ORD0000032,CUS000498,PROD0227,4,15339.96,61359.84,2025-10-12,Pending,Net Banking
ORD0000033,CUS000221,PROD0213,3,30425.44,91276.32,2024-09-13,Pending,Credit Card
ORD0000034,CUS000114,PROD0177,4,22167.8,88671.2,2026-02-07,Cancelled,COD
ORD0000035,CUS000684,PROD0250,5,21463.63,107318.15,2026-03-16,Cancelled,Credit Card
ORD0000036,CUS000614,PROD0113,4,27365.04,109460.16,2025-07-26,Delivered,Credit Card
ORD0000037,CUS000969,PROD0105,3,15603.52,46810.56,2025-10-28,Shipped,Debit Card
ORD0000038,CUS000336,PROD0131,3,23313.34,69940.02,2026-02-13,Delivered,Credit Card
ORD0000039,CUS000180,PROD0255,4,20426.43,81705.72,2026-03-03,Shipped,Net Banking
ORD0000040,CUS000513,PROD0273,2,18387.16,36774.32,2026-06-27,Pending,UPI
ORD0000041,CUS000883,PROD0037,4,2135.13,8540.52,2025-05-08,Delivered,Net Banking
