product_id,product_name,category,cost_price,selling_price
PROD0113,Mouse,Sports,18810.26,27365.04
PROD0114,Laptop,Grocery,11403.65,15198.03
PROD0115,Perfume,Sports,5773.93,7756.98
PROD0116,Notebook,Beauty,13111.38,17821.57
PROD0117,Mouse,Beauty,4313.34,5878.8
PROD0118,Mixer Grinder,Grocery,1741.67,2406.91
PROD0119,Shoes,Beauty,1913.07,3019.59
PROD0120,Keyboard,Electronics,6242.87,9445.17
PROD0121,Mixer Grinder,Home,971.96,1548.11
PROD0122,Perfume,Fashion,15381.36,20840.78
PROD0123,Coffee,Fashion,14381.0,19023.05
PROD0124,Monitor,Home,2994.05,4369.61
PROD0125,Cricket Bat,Books,8531.67,10486.69
PROD0126,Monitor,Books,1051.86,1327.59
PROD0127,Cricket Bat,Sports,2710.12,3683.3
PROD0128,Notebook,Sports,11929.27,18818.64
PROD0129,Novel,Home,16309.38,25302.52
PROD0130,Mouse,Beauty,18141.75,24503.36
PROD0131,Shoes,Home,17236.82,23313.34
PROD0132,Cricket Bat,Books,12771.35,19088.27
PROD0133,Headphones,Beauty,12553.63,15987.91
PROD0134,Rice,Sports,5750.28,7315.92
PROD0135,Coffee,Beauty,1657.52,2018.65
PROD0136,Novel,Books,3098.47,3861.56
PROD0137,Smartphone,Fashion,6651.08,9043.25
PROD0138,Perfume,Beauty,16666.18,22087.1
PROD0139,Perfume,Books,439.66,679.84
PROD0140,Backpack,Home,9565.75,15058.73
PROD0141,Novel,Sports,7830.23,12146.56
PROD0142,Mixer Grinder,Fashion,14962.94,20884.67
PROD0143,Football,Electronics,9790.18,12461.15
PROD0144,Coffee,Beauty,7807.7,11328.92
PROD0145,Keyboard,Sports,3342.64,4547.08
PROD0146,Perfume,Sports,10705.77,16680.85
PROD0147,Novel,Fashion,13276.85,15769.93
PROD0148,Watch,Books,17343.68,21363.56
PROD0149,Rice,Home,6580.69,8914.3
PROD0150,Novel,Grocery,17598.82,22442.29
