product_id,product_name,category,cost_price,selling_price
PROD0056,Laptop,Electronics,13060.29,18196.44
PROD0058,Coffee,Electronics,9738.54,12136.03
PROD0062,Backpack,Fashion,14382.25,17541.43
PROD0046,Football,Fashion,10307.41,13145.19
PROD0072,Notebook,Grocery,2661.02,3833.13
PROD0051,Smartphone,Books,13086.44,18854.69
PROD0054,Headphones,Books,3710.59,5039.66
PROD0055,Monitor,Electronics,16170.04,24824.0
PROD0059,Coffee,Grocery,3334.51,3837.92
PROD0071,Watch,Books,13411.03,17318.77
PROD0073,Laptop,Books,18583.92,29196.83
PROD0038,Mouse,Grocery,13212.03,20823.24
PROD0045,Rice,Electronics,1394.64,1623.55
PROD0070,Watch,Fashion,11694.26,16199.5
PROD0041,Notebook,Sports,19903.23,28709.32
PROD0044,Smartphone,Fashion,193.46,284.1
PROD0066,Mouse,Electronics,19217.54,22792.97
PROD0063,Face Wash,Electronics,19375.75,27332.04
PROD0052,Monitor,Fashion,14577.86,22016.46
PROD0057,Mouse,Books,18531.02,28387.91
PROD0043,Perfume,Fashion,469.63,657.14
PROD0049,Cooking Oil,Books,1931.8,2794.43
PROD0065,Mouse,Electronics,10081.87,15462.81
PROD0069,Novel,Beauty,11910.66,17017.02
PROD0074,Monitor,Electronics,12442.13,17460.63
PROD0039,T-shirt,Sports,10577.09,15050.85
PROD0040,Backpack,Books,15117.54,22078.27
PROD0047,Perfume,Sports,10807.72,15946.88
PROD0048,Novel,Fashion,9479.79,14248.87
PROD0061,Face Wash,Beauty,13947.0,20623.81
PROD0053,Keyboard,Books,3872.22,5387.53
PROD0064,Perfume,Books,14972.11,17603.07
PROD0075,Keyboard,Grocery,10775.81,14845.27
PROD0050,Smartphone,Beauty,8251.49,12696.79
PROD0042,Headphones,Grocery,9057.15,11426.12
PROD0060,Backpack,Books,18534.04,27862.37
PROD0067,Shoes,Books,11920.95,17331.22
PROD0068,Shoes,Sports,2441.74,3786.23
PROD0194,Shoes,Electronics,11278.65,14512.53
PROD0203,Notebook,Electronics,14153.77,20754.3
PROD0215,Mouse,Sports,13047.61,20383.4
PROD0216,Headphones,Books,8745.91,13262.39
PROD0191,Football,Electronics,19311.68,24402.53
PROD0212,Perfume,Sports,5044.84,6008.89
PROD0188,Keyboard,Beauty,19487.18,27262.79
PROD0190,Rice,Fashion,5722.57,7813.72
PROD0199,T-shirt,Grocery,2029.71,3030.83
PROD0222,Face Wash,Books,19762.98,28576.23
PROD0189,Laptop,Sports,17375.8,23820.4
PROD0196,Coffee,Books,12387.45,18569.56
PROD0200,Mouse,Sports,13225.54,16144.1
PROD0197,Perfume,Books,18174.66,23332.79
PROD0208,Backpack,Books,14991.71,21080.49
PROD0211,Rice,Sports,845.22,1136.32
PROD0217,Monitor,Home,6991.82,9089.29
PROD0192,Headphones,Sports,16451.21,21885.35
PROD0201,Notebook,Beauty,1547.54,1781.53
PROD0223,Cooking Oil,Sports,8294.29,10238.57
PROD0198,Mixer Grinder,Beauty,6142.34,8780.24
PROD0218,Football,Grocery,3258.46,4350.83
PROD0202,Shoes,Grocery,11896.53,15240.25
PROD0210,Headphones,Sports,10034.42,13769.31
PROD0219,Face Wash,Electronics,13268.54,17649.86
PROD0206,Watch,Home,4534.95,5519.24
PROD0209,Coffee,Grocery,2530.86,3694.82
PROD0193,Keyboard,Home,12607.44,14802.7
PROD0213,Watch,Sports,19018.19,30425.44
PROD0224,Smartphone,Fashion,15141.04,21673.4
PROD0214,Football,Sports,852.62,1270.68
PROD0220,Rice,Electronics,9123.78,11783.66
PROD0204,Perfume,Beauty,13763.33,21550.07
PROD0205,Monitor,Sports,16087.92,19933.23
PROD0207,Backpack,Sports,2887.61,3398.25
PROD0221,Cricket Bat,Home,19405.19,25845.36
PROD0195,Mixer Grinder,Home,11183.56,14955.53
PROD0225,Backpack,Books,5377.77,6501.49
PROD0264,Coffee,Home,16913.81,20967.16
PROD0286,Backpack,Beauty,16485.91,25705.23
PROD0299,T-shirt,Sports,1418.77,2120.1
PROD0272,Smartphone,Grocery,1988.42,2848.13
PROD0290,Novel,Beauty,11767.44,17380.15
PROD0294,Cooking Oil,Electronics,7378.33,11478.93
PROD0298,Perfume,Fashion,6703.51,10691.89
PROD0280,Coffee,Electronics,16101.52,21167.04
PROD0263,Watch,Books,12796.83,17159.77
PROD0288,Shoes,Sports,19918.75,23947.4
PROD0289,Face Wash,Books,2756.5,3732.69
PROD0276,Mouse,Grocery,10640.5,16610.56
PROD0277,Backpack,Beauty,18285.28,28797.2
PROD0281,Cooking Oil,Beauty,5325.95,6421.04
PROD0295,Monitor,Home,7992.89,9874.53
PROD0279,Coffee,Home,2858.1,4529.87
PROD0285,Headphones,Beauty,18309.36,22879.66
PROD0270,Cooking Oil,Fashion,15987.26,22752.74
PROD0275,Face Wash,Grocery,8339.29,10343.7
PROD0293,Monitor,Beauty,19013.58,29184.94
PROD0283,Shoes,Books,12789.06,16845.28
PROD0273,Cooking Oil,Beauty,15782.78,18387.16
PROD0287,Smartphone,Grocery,8195.5,9940.32
PROD0292,Notebook,Books,702.69,925.26
PROD0268,Smartphone,Sports,11340.28,16541.04
PROD0266,Backpack,Electronics,11517.5,18390.12
PROD0274,Rice,Beauty,2671.67,4166.02
PROD0300,Rice,Home,4358.23,6717.61
PROD0291,Novel,Grocery,2025.48,2775.33
PROD0296,T-shirt,Beauty,16492.61,19646.87
PROD0267,Watch,Electronics,19559.99,28287.72
PROD0269,Backpack,Home,14916.18,22743.86
PROD0282,Coffee,Home,14992.78,19010.43
PROD0265,Perfume,Grocery,9690.0,12177.84
PROD0271,Keyboard,Beauty,12750.53,18225.62
PROD0278,Notebook,Electronics,17414.42,26328.94
PROD0284,Face Wash,Grocery,549.24,850.17
PROD0297,Smartphone,Home,12807.88,20326.0
PROD0240,Novel,Electronics,4814.17,6365.95
PROD0227,Mouse,Grocery,12196.99,15339.96
PROD0229,Notebook,Electronics,19845.53,30975.27
PROD0242,Keyboard,Books,19768.86,29783.31
PROD0252,Monitor,Home,14947.99,20109.34
PROD0226,Laptop,Beauty,17622.89,24110.23
PROD0228,Headphones,Fashion,11039.24,15438.52
PROD0232,Coffee,Fashion,4912.43,6867.92
PROD0237,Face Wash,Books,9818.32,11947.6
PROD0247,Mixer Grinder,Beauty,15641.43,19853.05
PROD0250,Face Wash,Electronics,14388.41,21463.63
PROD0230,Backpack,Sports,12971.81,15816.36
PROD0238,Face Wash,Books,6935.22,9697.95
PROD0249,Rice,Beauty,13503.43,18771.52
PROD0255,Cooking Oil,Books,15933.06,20426.43
PROD0234,Novel,Grocery,1442.71,2160.75
PROD0244,Notebook,Electronics,17400.52,26855.71
