order_id,customer_id,product_id,quantity,unit_price,total_amount,order_date,status,payment_method
ORD0006126,CUS000673,PROD0073,2,29196.83,58393.66,2025-06-30,Cancelled,COD
ORD0006127,CUS000890,PROD0015,3,12156.3,36468.9,2024-09-14,Shipped,Net Banking
ORD0006128,CUS000907,PROD0184,2,5973.4,11946.8,2024-11-12,Returned,UPI
ORD0006129,CUS000445,PROD0077,5,4876.09,24380.45,2026-02-05,Returned,Debit Card
ORD0006130,CUS000709,PROD0177,1,22167.8,22167.8,2024-12-27,Delivered,COD
ORD0006131,CUS000229,PROD0187,4,461.96,1847.84,2025-01-10,Pending,Debit Card
ORD0006132,CUS000357,PROD0284,3,850.17,2550.51,2025-10-11,Cancelled,UPI
ORD0006133,CUS000648,PROD0042,3,11426.12,34278.36,2026-03-02,Returned,Credit Card
ORD0006134,CUS000238,PROD0042,5,11426.12,57130.6,2025-05-30,Cancelled,Credit Card
ORD0006135,CUS000682,PROD0041,4,28709.32,114837.28,2025-10-16,Cancelled,UPI
ORD0006136,CUS000774,PROD0184,3,5973.4,17920.2,2025-05-07,Shipped,Net Banking
ORD0006137,CUS000139,PROD0017,4,24869.23,99476.92,2025-07-03,Returned,Debit Card
ORD0006138,CUS000426,PROD0279,1,4529.87,4529.87,2025-08-27,Returned,Debit Card
ORD0006139,CUS000257,PROD0127,4,3683.3,14733.2,2026-03-17,Returned,Credit Card
ORD0006140,CUS000684,PROD0072,1,3833.13,3833.13,2024-09-21,Cancelled,Net Banking
ORD0006141,CUS000737,PROD0192,4,21885.35,87541.4,2025-06-01,Shipped,Net Banking
ORD0006142,CUS000178,PROD0132,1,19088.27,19088.27,2024-12-19,Returned,Credit Card
ORD0006143,CUS000539,PROD0264,3,20967.16,62901.48,2024-11-18,Delivered,COD
ORD0006144,CUS000164,PROD0227,4,15339.96,61359.84,2025-01-01,Delivered,COD
ORD0006145,CUS000585,PROD0031,4,19147.21,76588.84,2026-02-22,Shipped,Credit Card
ORD0006146,CUS000021,PROD0221,2,25845.36,51690.72,2025-01-18,Shipped,COD
ORD0006147,CUS000447,PROD0173,1,20973.73,20973.73,2025-07-11,Returned,Credit Card
ORD0006148,CUS000034,PROD0160,3,23337.95,70013.85,2024-08-21,Cancelled,COD
