product_id,product_name,category,cost_price,selling_price
PROD0151,Face Wash,Electronics,16706.47,22748.17
PROD0152,Headphones,Home,19998.16,26147.24
PROD0153,Laptop,Fashion,19147.85,22366.91
PROD0154,Keyboard,Fashion,4027.25,4668.27
PROD0155,Perfume,Fashion,2568.11,3726.99
PROD0156,Cooking Oil,Fashion,9327.43,11802.09
PROD0157,Monitor,Home,12137.56,19222.02
PROD0158,Monitor,Sports,16395.06,25971.81
PROD0159,Coffee,Books,562.28,725.56
PROD0160,Perfume,Beauty,18832.34,23337.95
PROD0161,Backpack,Home,16619.9,20929.14
PROD0162,Perfume,Home,13700.97,20722.55
PROD0163,Cooking Oil,Electronics,869.33,1208.14
PROD0164,Novel,Home,10143.92,13223.15
PROD0165,Cooking Oil,Beauty,9829.52,13221.55
PROD0166,Keyboard,Books,17836.92,24202.61
PROD0167,Watch,Sports,3563.93,4935.28
PROD0168,Football,Books,16173.57,22516.49
PROD0169,Watch,Grocery,8739.71,12925.7
PROD0170,Headphones,Grocery,17041.68,25968.61
PROD0171,Notebook,Sports,17638.54,22219.95
PROD0172,Laptop,Books,12226.12,16145.14
PROD0173,T-Shirt,Grocery,17026.51,20973.73
PROD0174,Mixer Grinder,Beauty,15966.76,20807.12
PROD0175,Cricket Bat,Fashion,17608.14,24653.26
PROD0176,Football,Sports,1757.98,2591.32
PROD0177,Football,Books,15175.38,22167.8
PROD0178,Shoes,Books,15869.01,18913.86
PROD0179,Perfume,Grocery,13851.15,17837.41
PROD0180,Novel,Beauty,9491.55,13182.95
PROD0181,Notebook,Grocery,11030.25,14431.04
PROD0182,T-Shirt,Grocery,6167.13,7731.99
PROD0183,Mouse,Fashion,2435.12,3387.59
PROD0184,Perfume,Home,4366.87,5973.4
PROD0185,Monitor,Home,10516.51,13433.26
PROD0186,Mouse,Grocery,3922.65,4912.6
PROD0187,Watch,Electronics,332.26,461.96
