order_id,customer_id,product_id,quantity,unit_price,total_amount,order_date,status,payment_method
ORD0000876,CUS000316,PROD0046,4,13145.19,52580.76,2024-11-10,Cancelled,Net Banking
ORD0000877,CUS000311,PROD0134,2,7315.92,14631.84,2026-04-10,Delivered,Credit Card
ORD0000878,CUS000353,PROD0268,2,16541.04,33082.08,2025-09-05,Cancelled,Net Banking
ORD0000879,CUS000705,PROD0274,1,4166.02,4166.02,2026-07-06,Returned,Net Banking
ORD0000880,CUS000785,PROD0154,1,4668.27,4668.27,2024-09-20,Returned,UPI
ORD0000881,CUS000562,PROD0119,1,3019.59,3019.59,2026-04-23,Cancelled,Debit Card
ORD0000882,CUS000448,PROD0211,5,1136.32,5681.6,2025-02-03,Returned,Debit Card
ORD0000883,CUS000849,PROD0084,4,19350.77,77403.08,2025-07-02,Returned,Debit Card
ORD0000884,CUS000433,PROD0135,1,2018.65,2018.65,2025-07-27,Shipped,COD
ORD0000885,CUS000665,PROD0140,3,15058.73,45176.19,2025-10-12,Pending,UPI
ORD0000886,CUS000874,PROD0212,2,6008.89,12017.78,2024-12-03,Delivered,Debit Card
ORD0000887,CUS000114,PROD0070,3,16199.5,48598.5,2025-02-17,Returned,COD
ORD0000888,CUS000718,PROD0232,3,6867.92,20603.76,2025-06-16,Pending,Net Banking
ORD0000889,CUS000020,PROD0097,3,4727.95,14183.85,2025-09-12,Shipped,Credit Card
ORD0000890,CUS000191,PROD0274,1,4166.02,4166.02,2026-06-25,Delivered,UPI
ORD0000891,CUS000733,PROD0138,2,22087.1,44174.2,2026-06-15,Returned,Credit Card
ORD0000892,CUS000155,PROD0120,1,9445.17,9445.17,2025-03-15,Delivered,Net Banking
ORD0000893,CUS000431,PROD0112,3,7181.28,21543.84,2026-02-07,Cancelled,Net Banking
ORD0000894,CUS000714,PROD0191,4,24402.53,97610.12,2026-03-18,Delivered,UPI
ORD0000895,CUS000058,PROD0042,2,11426.12,22852.24,2024-09-05,Cancelled,Net Banking
ORD0000896,CUS000482,PROD0037,5,2135.13,10675.65,2024-09-20,Shipped,Debit Card
ORD0000897,CUS000849,PROD0129,4,25302.52,101210.08,2024-11-29,Delivered,Credit Card
ORD0000898,CUS000790,PROD0128,4,18818.64,75274.56,2024-12-16,Returned,Debit Card
ORD0000899,CUS000472,PROD0018,2,2139.17,4278.34,2025-06-26,Delivered,COD
ORD0000900,CUS000399,PROD0107,4,4495.12,17980.48,2024-12-13,Cancelled,UPI
ORD0000901,CUS000763,PROD0082,1,21113.78,21113.78,2025-02-18,Pending,COD
ORD0000902,CUS000493,PROD0063,3,27332.04,81996.12,2025-03-15,Cancelled,Debit Card
ORD0000903,CUS000885,PROD0185,1,13433.26,13433.26,2025-10-26,Shipped,Credit Card
ORD0000904,CUS000333,PROD0121,4,1548.11,6192.44,2025-07-17,Delivered,Debit Card
ORD0000905,CUS000123,PROD0142,5,20884.67,104423.35,2026-02-05,Returned,Debit Card
ORD0000906,CUS000596,PROD0005,1,2268.03,2268.03,2026-03-06,Returned,COD
ORD0000907,CUS000790,PROD0080,3,8257.43,24772.29,2025-08-27,Delivered,Debit Card
ORD0000908,CUS000094,PROD0081,4,7798.27,31193.08,2025-07-15,Pending,UPI
ORD0000909,CUS000365,PROD0031,1,19147.21,19147.21,2025-10-20,Shipped,COD
ORD0000910,CUS000500,PROD0055,2,24824.0,49648.0,2025-11-28,Shipped,UPI
ORD0000911,CUS000825,PROD0286,3,25705.23,77115.69,2025-11-27,Returned,Debit Card
ORD0000912,CUS000367,PROD0011,4,2633.03,10532.12,2025-06-22,Shipped,UPI
ORD0000913,CUS000724,PROD0021,4,14266.73,57066.92,2025-04-06,Returned,COD
ORD0000914,CUS000714,PROD0151,5,22748.17,113740.85,2025-05-28,Returned,Debit Card
ORD0000915,CUS000557,PROD0291,2,2775.33,5550.66,2025-10-30,Cancelled,UPI
ORD0000916,CUS000889,PROD0240,3,6365.95,19097.85,2026-04-27,Pending,COD
ORD0000917,CUS000544,PROD0083,1,7886.68,7886.68,2025-12-11,Shipped,Net Banking
ORD0000918,CUS000555,PROD0152,3,26147.24,78441.72,2024-09-21,Cancelled,Net Banking
ORD0000919,CUS000389,PROD0001,5,5794.04,28970.2,2024-11-07,Shipped,Credit Card
ORD0000920,CUS000245,PROD0187,5,461.96,2309.8,2024-10-01,Cancelled,Credit Card
ORD0000921,CUS000195,PROD0276,4,16610.56,66442.24,2026-05-14,Pending,Net Banking
ORD0000922,CUS000628,PROD0283,2,16845.28,33690.56,2024-07-21,Cancelled,UPI
ORD0000923,CUS000114,PROD0210,3,13769.31,41307.93,2024-12-03,Delivered,COD
ORD0000924,CUS000856,PROD0035,1,20306.63,20306.63,2024-08-28,Shipped,Debit Card
ORD0000925,CUS000110,PROD0017,2,24869.23,49738.46,2025-07-20,Returned,Debit Card
ORD0000926,CUS000585,PROD0051,1,18854.69,18854.69,2025-07-05,Returned,Net Banking
ORD0000927,CUS000719,PROD0270,5,22752.74,113763.7,2025-01-20,Pending,UPI
ORD0000928,CUS000227,PROD0026,3,7086.68,21260.04,2025-04-20,Pending,Credit Card
ORD0000929,CUS000672,PROD0007,2,3975.62,7951.24,2025-02-24,Returned,Credit Card
ORD0000930,CUS000370,PROD0240,1,6365.95,6365.95,2024-12-01,Pending,Net Banking
ORD0000931,CUS000844,PROD0189,1,23820.4,23820.4,2026-03-06,Pending,UPI
ORD0000932,CUS000752,PROD0271,1,18225.62,18225.62,2024-12-14,Delivered,UPI
ORD0000933,CUS000984,PROD0040,2,22078.27,44156.54,2025-11-29,Pending,Credit Card
