product_id,product_name,category,cost_price,selling_price
PROD0076,Cooking Oil,Grocery,17623.24,27239.74
PROD0077,Backpack,Sports,3197.05,4876.09
PROD0078,Cricket Bat,Electronics,19677.87,29776.45
PROD0079,Monitor,Fashion,13373.87,18717.68
PROD0080,Face Wash,Fashion,5326.1,8257.43
PROD0081,Rice,Fashion,5483.35,7798.27
PROD0082,Cricket Bat,Books,13765.57,21113.78
PROD0083,Smartphone,Electronics,5059.87,7886.68
PROD0084,Smartphone,Electronics,12703.97,19350.77
PROD0085,Watch,Fashion,6704.45,8104.8
PROD0086,Novel,Sports,14837.56,20746.71
PROD0087,Keyboard,Sports,242.91,287.57
PROD0088,Face Wash,Fashion,768.76,1011.8
PROD0089,Cooking Oil,Home,8624.24,10080.21
PROD0090,Cooking Oil,Fashion,19445.32,22711.21
PROD0091,Cooking Oil,Home,13657.23,19804.62
PROD0092,Mixer Grinder,Beauty,11219.68,17318.93
PROD0093,Mouse,Home,3133.34,4914.48
PROD0094,Laptop,Fashion,16224.9,25094.04
PROD0095,Novel,Home,14744.46,19160.18
PROD0096,Shoes,Grocery,13414.65,19864.09
PROD0097,Coffee,Home,3226.0,4727.95
PROD0098,T-Shirt,Home,822.56,1120.17
PROD0099,Shoes,Fashion,18373.12,24020.03
PROD0100,Rice,Grocery,522.11,645.8
PROD0101,Watch,Grocery,17293.84,27412.47
PROD0102,Face Wash,Grocery,12847.56,17085.4
PROD0103,Watch,Fashion,18787.78,22581.1
PROD0104,Smartphone,Electronics,11632.77,18526.32
PROD0105,Rice,Books,11951.6,15603.52
PROD0106,Coffee,Sports,12143.87,16760.25
PROD0107,Novel,Electronics,3842.07,4495.12
PROD0108,T-Shirt,Grocery,10422.41,15768.38
PROD0109,Rice,Sports,8654.38,13647.9
PROD0110,Backpack,Sports,6312.62,9668.45
PROD0111,Coffee,Beauty,6220.23,8296.4
PROD0112,Novel,Beauty,5948.32,7181.28
